superficie,adresse,prix,image_lien
225.0,Sindia                                                                                Thiès,3200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f7659c86424089593a70678e693d45d/-/horizon-files-prod/ed/picture/qpdwvv52/cda1b8fe61d501391cca5b76a3621bef4e55690a.png
300.0,Thiès                                                                                Thiès,2500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce13c1d1406746aa6ff9829d6adc6472/-/horizon-files-prod/ed/picture/qgqw606k/ebda8398accea7c068242a656fa979d2550d81ba.jpg
225.0,Thiès                                                                                Thiès,0.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/528db005b3f31fe30dfa08b200b27de0/-/horizon-files-prod/ed/picture/q9mj6k70/449071b2b3fce7b011f7f1770ca0e5968e15b5b6.png
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
876.0,Plateau                                                                                Dakar,2500000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36cdb24aac8ec3b83b630c14b3f25f30/-/horizon-files-prod/ed/picture/q9mjvdg8/5059f9501072c224c398b8f159225572b3b69e69.jpg
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1824222c32a3181f895ff918ac270501/-/horizon-files-prod/ed/picture/qde7j8m4/5e759fba875ea60ae408e3eb533e56917ef27fc3.jpg
390.0,Thiaroye                                                                                Dakar,156000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6765db092d3cd7a8e1eda5aacfae5883/-/horizon-files-prod/ed/picture/q44ngmnv/833ab5c23145bc7f48f2a08c8d10e616a42e7992.jpg
200.0,Kounoune                                                                                Dakar,18000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0561d53feac44e5d9f8efb837d03ce8b/-/horizon-files-prod/ed/picture/qwqn06j/1b1646ecf73e2d5d54d0a976e67b0157be82ea23.jpg
900.0,Point-e                                                                                Dakar,990000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0711b4c8bb9c09539465b759ab775c8d/-/horizon-files-prod/ed/picture/qq42kq9e/6b2df709499e504214b38d7a6db3e821476aa970.png
125.0,Lac Rose                                                                                Dakar,150000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f21bc105d3415bebc6f56effe62b8a1e/-/horizon-files-prod/ed/picture/qngpq22r/a12843d78ba4ea9ecc65f99eb7ff4590f53a77c5.jpg
