nombre_chambre,superficie,adresse,prix,image_lien
0.0,0.0,Mamelles                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6d7883f47783541eebde4b92a3996ee/-/horizon-files-prod/ed/picture/qwepezr5/e71317506d274efa7555509d097aa00c71433a4f.jpg
2.0,0.0,Ngor                                                                                Dakar,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a3107750b91e0737f142b04083a1980/-/horizon-files-prod/ed/picture/migrated/q2k2m4k/bfcb5e53c1a25a616267735b22bdb25922bd8506.jpg
3.0,200.0,Almadies                                                                                Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69094d5d40c99fda43aad18cd852c2b1/-/horizon-files-prod/ed/picture/qrz8k9m5/ec8f8575ad18ca777af7ad7771b07300c1004dfd.jpg
0.0,0.0,Yoff                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd240e78bcd3edbdb2b83fcc310fe3ba/-/horizon-files-prod/ed/picture/migrated/q40r8jr/712842a6fbfe5f8c45849933598e7acc28bcd513.jpg
0.0,10.0,Yoff                                                                                Dakar,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05b700bb02ac1bb9c352c429ce2bb8ee/-/horizon-files-prod/ed/picture/migrated/qrn6vrg/aec6e7fbf0bddca6270ff3c9b42402d9ccd10dc7.jpg
1.0,100.0,Avenue Bourguiba                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/093164789d5763eb452d4a2622937553/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qm5gd2qm/54e6a9defe48180413f60e99ce8cb15ef0a2c4a5.jpg
1.0,87.0,Cité keur gorgui                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45c44c481acc3689f7bdf3b76c13edab/-/horizon-files-prod/ed/picture/qwe2jx40/f9b255daa40f4a0a5bcef2eced263b30edb59133.jpg
20.0,16.0,Cité keur gorgui                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92995ddc5e05aceae8cec053c524b442/-/horizon-files-prod/ed/picture/q6xk5m26/f2c654cd70ab7dae3808058e428101952f6efd71.jpg
1.0,60.0,Virage                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f5de69475ed744b5cc8fa9254ac58f3/-/horizon-files-prod/ed/picture/q6gp96z/7e8c5c1fef600bbcadafef8479985cfca1e0c850.jpg
2.0,140.0,Cité keur gorgui                                                                                Dakar,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c055a95c3b76d569180dc9d1f73c76a/-/horizon-files-prod/ed/picture/q78w6k0g/ba5daa10eab09fa40ed5b3e2fd4fc2fd750cb38b.jpg
0.0,0.0,Sacré-cœur                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e069b86fabd8442ae2e715076dd97420/-/horizon-files-prod/ed/picture/qm5g7erj/2263b986c69e38b5c6a804116aef6abbfdca0fa4.jpg
1.0,100.0,Almadies                                                                                Dakar,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/997409cdf16f8af42554117fffd2abf2/-/horizon-files-prod/ed/picture/qngd5zmm/f5fc37db6c497d5b0e98af0f8c2a7bfd97fa7299.jpg
0.0,0.0,Sacré-cœur                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a932e8489c6af1cad938154256ef0bb1/-/horizon-files-prod/ed/picture/q56dkmg0/97fe27e8d0b3540e98e401fbd4c260de4a625a7c.jpg
1.0,0.0,Liberte 6                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35756f7314dc9fe29611d056044be91c/-/horizon-files-prod/ed/picture/qwep686g/1b22ec2dbb2204da3affd051af9d2619ea2fff53.jpg
1.0,16.0,Avenue Bourguiba                                                                                Dakar,10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ec34b3ef1118d2a9beec393150ad313/-/horizon-files-prod/ed/picture/qde7g5ng/6142961d638dfe07a83ac26528c266ece61b2d6c.jpg
0.0,0.0,Mamelles                                                                                Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cf443405b8b0b2e47aaf43b02467bf15/-/horizon-files-prod/ed/picture/qv4wj2zm/6f1e940d9fd5e1bd011a9ece670eb9c9d9358a70.jpg
1.0,50.0,Hann maristes                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99ead49b7adc0af5c81cc505a5358650/-/horizon-files-prod/ed/picture/q040qne/01daba69fa35ab10ac32ce50b5ac5e0219257419.jpg
1.0,100.0,Hann maristes                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/626dd97af97719d98293a6a5592f2a55/-/horizon-files-prod/ed/picture/qdjwj8j/5741dbe65555b32effe97c65906a3394e315928d.jpg
1.0,0.0,VDN                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/582138613145c724bdfaa4212a8e60a6/-/horizon-files-prod/ed/picture/q448exx8/4e434b66f5f8a6f99d74d0479fe3c2277c7951eb.jpg
