nombre_chambre,superficie,adresse,prix,image_lien
3.0,0.0,Ngor                                                                                Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df35086623ec2baef99223698a310681/-/horizon-files-prod/ed/picture/q6xdj074/424db9bbed7e7577a0a36b1e1200e41310dc7098.jpg
1.0,140.0,Almadies                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a5b05fc0cecdc4d059c93fdfbecd8f9/-/horizon-files-prod/ed/picture/qxjp7rw4/e5cff4c046b36b5967bcbc589b980135307fd71a.jpg
2.0,0.0,Ngor                                                                                Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62e5bd0843847a52162d159c9d92bd36/-/horizon-files-prod/ed/picture/q2j0x4p6/155fb23dcd4dcc8e342bb53af0cfa0be6cd7c0ae.jpg
2.0,0.0,Mamelles                                                                                Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e533d17a772fbe0c7dd4212569144051/-/horizon-files-prod/ed/picture/qkr8zwwn/5f05524d260e3b1230b55075b87312ea4859e10f.jpg
4.0,0.0,Fenêtre mermoz                                                                                Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eaeb95fb0f4a929b4cdc04b34084a114/-/horizon-files-prod/ed/picture/qxjp75xq/a952b8e7d41b7ccb1af017d536176a571b1cd8a6.jpg
3.0,150.0,Almadies 2                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2831253c34261b40d27db760d65a2684/-/horizon-files-prod/ed/picture/q0gwvvqw/9833f9575c1acd6071ed263d2d1365bf966af074.jpg
3.0,0.0,Virage                                                                                Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3df54e2cd40ae838ec7bf8219a8ae337/-/horizon-files-prod/ed/picture/q78wqwq5/960ed8c33b2a26b90694902896bb1ecd3afa6abd.jpg
4.0,0.0,Almadies                                                                                Dakar,1225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c9aa23bef1b93d6b62a80277715008ea/-/horizon-files-prod/ed/picture/qgqwpx2e/d679883ccae8615f48ab7835a3ef1836f7cdbb27.jpg
3.0,0.0,Almadies                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc3bec42c499bbf5acfd007177faf902/-/horizon-files-prod/ed/picture/q9mj574n/5e743590ee6b8368c41ca84c5c334d34f9551492.jpg
3.0,0.0,Almadies                                                                                Dakar,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb9bc58e9b6d0e3a3d8467ecf4f5aeb8/-/horizon-files-prod/ed/picture/q9mjwqdp/e3554ae089a36d83d4385bbdba4b39a53f414387.jpg
